date,open,high,low,close,volume,interval,vol_zscore,single_candle,multi_candle,candle,CDL_open,CDL_high,CDL_low,CDL_close,CDL_body_size,CDL_shadow_ratio,range_to_body_ratio,type,cdl_emotion,cdl_strength,cdl_implication,cdl_direction,last_close,price_dir,price_chg
2025-06-23 09:15:00+05:30,510.0,514.0,505.8,510.1,154104,5minute,,doji,unknown,doji,510.0,514.0,505.8,510.1,0.00019603999215844488,80.99999999998124,81.99180081989925,neutral,indecision,,reversal,trend,515.4,up,0.39
2025-06-23 09:20:00+05:30,509.5,513.5,509.3,513.4,78832,5minute,,bullish_belt_hold,unknown,bullish_belt_hold,509.5,513.5,509.3,513.4,0.00759641604986361,0.07692307692308029,1.0769203155889377,bullish,decisive,moderate,reversal,up,515.4,down,0.0
2025-06-23 09:25:00+05:30,512.9,515.9,512.55,515.4,90536,5minute,,unknown,unknown,unknown,,,,,,,1.339994640021449,,,,,,,sideways,
2025-06-23 09:30:00+05:30,514.25,516.15,511.3,512.0,75886,5minute,,unknown,bearish_engulfing,bearish_engulfing,514.25,516.15,511.3,512.0,0.00439453125,1.1555555555555403,2.1555459753512056,bearish,decisive,strong,reversal,down,512.0,sideways,0.0
2025-06-23 09:35:00+05:30,511.85,516.7,511.8,514.0,77899,5minute,,bullish_belt_hold,unknown,bullish_belt_hold,511.85,516.7,511.8,514.0,0.004182879377431862,1.2790697674419005,2.279059167166704,bullish,decisive,moderate,reversal,up,517.8,up,0.52
2025-06-23 09:40:00+05:30,514.25,515.35,511.3,515.15,48622,5minute,,hammer,unknown,hammer,514.25,515.35,511.3,515.15,0.0017470639619527853,3.500000000000126,4.499950000555676,bullish,decisive,moderate,reversal,up,517.8,up,0.0
2025-06-23 09:45:00+05:30,514.9,520.0,512.85,517.8,99249,5minute,,unknown,unknown,unknown,,,,,,,2.4655087396250472,,,,,,,sideways,
2025-06-23 09:50:00+05:30,518.0,519.85,513.75,514.6,63554,5minute,,unknown,bearish_engulfing,bearish_engulfing,518.0,519.85,513.75,514.6,0.0066070734551107214,0.7941176470588422,1.7941123702577533,bearish,decisive,strong,reversal,down,514.6,sideways,0.0
2025-06-23 09:55:00+05:30,514.3,516.8,514.05,514.95,19667,5minute,,inverted_hammer,unknown,inverted_hammer,514.3,516.8,514.05,514.95,0.0012622584716964578,3.230769230768639,4.230704143012593,bullish,decisive,weak,reversal,up,514.95,sideways,0.0
2025-06-23 10:00:00+05:30,514.95,515.85,514.15,514.6,15389,5minute,,unknown,unknown,unknown,,,,,,,4.857004085597368,,,,,,,sideways,
2025-06-23 10:05:00+05:30,514.8,516.35,514.2,515.9,12258,5minute,,unknown,unknown,unknown,,,,,,,1.9545276861118832,,,,,,,sideways,
2025-06-23 10:10:00+05:30,515.9,516.2,513.6,514.9,16747,5minute,,unknown,unknown,unknown,,,,,,,2.59997400026002,,,,,,,sideways,
2025-06-23 10:15:00+05:30,514.7,516.0,514.25,515.6,33974,5minute,,unknown,unknown,unknown,,,,,,,1.9444228397462742,,,,,,,sideways,
2025-06-23 10:20:00+05:30,515.6,516.3,515.6,516.05,20884,5minute,-0.8886143043087805,bullish_belt_hold,unknown,bullish_belt_hold,515.6,516.3,515.6,516.05,0.0008720085263054585,0.5555555555556397,1.5555209884225636,bullish,decisive,moderate,reversal,up,516.05,sideways,0.0
2025-06-23 10:25:00+05:30,516.2,516.3,513.7,514.9,12544,5minute,-1.082753130524694,bearish_belt_hold,tweezer_top,tweezer_top,516.2,516.3,513.7,514.9,0.002524762089726293,0.9999999999998251,1.9999846155027827,bearish,decisive,moderate,reversal,down,514.9,sideways,0.0
2025-06-23 10:30:00+05:30,514.45,518.45,514.15,518.15,38440,5minute,-0.2007520087198532,bullish_belt_hold,unknown,bullish_belt_hold,514.45,518.45,514.15,518.15,0.007140789346714141,0.16216216216220203,1.1621590211918744,bullish,decisive,moderate,reversal,up,518.15,sideways,0.0
2025-06-23 10:35:00+05:30,518.0,518.2,516.4,516.85,24171,5minute,-0.5524999278127731,unknown,bearish_harami,bearish_harami,518.0,518.2,516.4,516.85,0.002225016929476593,0.565217391304438,1.5652037808367785,bearish,decisive,moderate,reversal,down,516.85,sideways,0.0
2025-06-23 10:40:00+05:30,516.85,517.6,515.55,517.6,14581,5minute,-0.7689634993625888,unknown,unknown,unknown,,,,,,,2.7332968893748992,,,,,,,sideways,
2025-06-23 10:45:00+05:30,517.6,519.5,517.5,518.65,42086,5minute,0.36940086478237255,bullish_belt_hold,unknown,bullish_belt_hold,517.6,519.5,517.5,518.65,0.002024486648028448,0.9047619047619873,1.9047437643451839,bullish,decisive,moderate,reversal,up,518.65,sideways,0.0
2025-06-23 10:50:00+05:30,518.9,519.0,517.0,517.6,9321,5minute,-0.8391427735662182,bearish_belt_hold,counterattack,counterattack,518.9,519.0,517.0,517.6,0.0025115919629056307,0.5384615384615923,1.538449704233098,depends,decisive,moderate,reversal,trend,515.65,down,-0.35
2025-06-23 10:55:00+05:30,517.6,517.6,516.0,517.45,37021,5minute,0.7346750299138725,bearish_belt_hold,unknown,bearish_belt_hold,517.6,517.6,516.0,517.45,0.00028988308049082473,9.666666666668435,10.66595560296157,bearish,decisive,moderate,reversal,down,513.55,down,-0.66
2025-06-23 11:00:00+05:30,517.3,517.3,515.55,515.65,11684,5minute,-0.9256202440861396,bearish_belt_hold,unknown,bearish_belt_hold,517.3,517.3,515.55,515.65,0.0031998448560069375,0.06060606060607522,1.060599632729513,bearish,decisive,moderate,reversal,down,514.35,down,-0.19
2025-06-23 11:05:00+05:30,515.65,515.9,514.1,514.5,22408,5minute,0.0140773116949992,unknown,unknown,unknown,,,,,,,1.5652037808366797,,,,,,,sideways,
2025-06-23 11:10:00+05:30,514.5,515.4,513.5,515.35,13185,5minute,-0.7881885536778653,unknown,unknown,unknown,,,,,,,2.2352678203784975,,,,,,,sideways,
2025-06-23 11:15:00+05:30,515.35,515.35,514.0,514.35,13095,5minute,-0.8052850362633297,bearish_belt_hold,bearish_engulfing,bearish_engulfing,515.35,515.35,514.0,514.35,0.001944201419267036,0.35000000000002274,1.3499865001350213,bearish,decisive,strong,reversal,down,514.35,sideways,0.0
2025-06-23 11:20:00+05:30,514.65,515.35,514.3,515.0,11519,5minute,-0.8903004360921636,unknown,bullish_harami,bullish_harami,514.65,515.35,514.3,515.0,0.000679611650485481,2.0,2.999914288163195,bullish,decisive,moderate,reversal,up,516.85,up,0.0
2025-06-23 11:25:00+05:30,515.0,516.9,515.0,516.85,11414,5minute,-0.7772584266405573,bullish_belt_hold,unknown,bullish_belt_hold,515.0,516.9,515.0,516.85,0.00357937506046246,0.027027027027002114,1.0270214755595666,bullish,decisive,moderate,reversal,up,516.85,sideways,0.0
2025-06-23 11:30:00+05:30,516.9,517.0,514.5,514.55,7548,5minute,-0.9929003971390614,bearish_belt_hold,bearish_engulfing,bearish_engulfing,516.9,517.0,514.5,514.55,0.004567097463803368,0.06382978723403226,1.063825260318031,bearish,decisive,strong,reversal,down,514.55,sideways,0.0
2025-06-23 11:35:00+05:30,514.55,515.0,514.5,514.8,3457,5minute,-1.2202926588558205,unknown,tweezer_bottom,tweezer_bottom,514.55,515.0,514.5,514.8,0.0004856254856254857,1.0,1.9999200031998718,bullish,decisive,moderate,reversal,up,514.8,sideways,0.0
2025-06-23 11:40:00+05:30,514.55,514.8,513.8,514.15,8499,5minute,-0.7069179273518196,unknown,separating_lines_bearish,separating_lines_bearish,514.55,514.8,513.8,514.15,0.0007779830788679905,1.500000000000142,2.499937501562603,bearish,decisive,strong,continuation,down,514.15,sideways,0.0
2025-06-23 11:45:00+05:30,514.15,514.95,514.1,514.85,4746,5minute,-0.9042246764475557,bullish_belt_hold,unknown,bullish_belt_hold,514.15,514.95,514.1,514.85,0.0013596193065942418,0.2142857142856679,1.2142683675947024,bullish,decisive,moderate,reversal,up,514.85,sideways,0.0
2025-06-23 11:50:00+05:30,514.85,515.1,513.5,513.55,11273,5minute,-0.30894654358301216,unknown,bearish_engulfing,bearish_engulfing,514.85,515.1,513.5,513.55,0.0025313990848020024,0.23076923076918368,1.2307597633863883,bearish,decisive,strong,reversal,down,513.55,sideways,0.0
2025-06-23 11:55:00+05:30,513.55,514.45,513.5,514.0,9953,5minute,-0.3065535066531069,unknown,tweezer_bottom,tweezer_bottom,513.55,514.45,513.5,514.0,0.0008754863813230457,1.1111111111109988,2.111064198573253,bullish,decisive,moderate,reversal,up,516.05,up,0.38
2025-06-23 12:00:00+05:30,513.65,514.7,513.55,514.7,6952,5minute,-0.639067932785643,bullish_belt_hold,unknown,bullish_belt_hold,513.65,514.7,513.55,514.7,0.0020400233145522985,0.0952380952381107,1.0952276644984487,bullish,decisive,moderate,reversal,up,514.7,sideways,0.0
2025-06-23 12:05:00+05:30,514.4,514.65,513.55,514.1,5376,5minute,-0.9928636658879532,unknown,bearish_harami,bearish_harami,514.4,514.65,513.55,514.1,0.0005835440575762585,2.6666666666672985,3.666544448519014,bearish,decisive,moderate,reversal,down,514.1,sideways,0.0
2025-06-23 12:10:00+05:30,514.1,515.75,513.8,514.95,16295,5minute,1.1750218106384862,unknown,unknown,unknown,,,,,,,2.2940906577569598,,,,,,,sideways,
2025-06-23 12:15:00+05:30,514.45,515.45,514.2,515.3,9431,5minute,-0.013955499929851633,unknown,unknown,unknown,,,,,,,1.470570934459752,,,,,,,sideways,
2025-06-23 12:20:00+05:30,515.3,516.5,515.1,515.8,10657,5minute,0.3884409611526147,unknown,three_white_soldiers,three_white_soldiers,515.3,516.5,515.1,515.8,0.0009693679720822024,1.7999999999999545,2.7999440011199326,bullish,decisive,strong,continuation,up,515.8,sideways,0.0
2025-06-23 12:25:00+05:30,515.8,516.1,515.35,515.7,16980,5minute,1.8781096734561027,unknown,unknown,unknown,,,,,,,7.4992500749993205,,,,,,,sideways,
2025-06-23 12:30:00+05:30,515.7,516.3,515.45,516.05,7857,5minute,-0.372099215008061,unknown,unknown,unknown,,,,,,,2.428502042799148,,,,,,,sideways,
2025-06-23 12:35:00+05:30,516.05,516.05,515.15,515.45,6088,5minute,-0.7188409828806225,bearish_belt_hold,bearish_engulfing,bearish_engulfing,516.05,516.05,515.15,515.45,0.0011640314288484024,0.5000000000001895,1.4999750004168493,bearish,decisive,strong,reversal,down,515.45,sideways,0.0
2025-06-23 12:40:00+05:30,515.45,516.1,515.3,515.95,6970,5minute,-0.48358516171095645,unknown,unknown,unknown,,,,,,,1.5999680006401238,,,,,,,sideways,
2025-06-23 12:45:00+05:30,516.0,516.2,515.25,515.85,6862,5minute,-0.6121509823966628,unknown,evening_star,evening_star,515.85,516.0,515.55,515.6,0.0004848719937936385,0.8000000000001819,6.332911139258646,bearish,decisive,strong,reversal,down,515.6,sideways,0.0
2025-06-23 12:50:00+05:30,515.85,516.0,515.55,515.6,5183,5minute,-0.9620261105927694,unknown,unknown,unknown,,,,,,,1.7999280028800666,,,,,,,sideways,
2025-06-23 12:55:00+05:30,515.6,516.95,515.6,516.45,13191,5minute,0.9635027073245613,bullish_belt_hold,unknown,bullish_belt_hold,515.6,516.95,515.6,516.45,0.001645851486107121,0.5882352941176313,1.5882166092163466,bullish,decisive,moderate,reversal,up,516.95,up,0.02
2025-06-23 13:00:00+05:30,516.5,517.55,516.25,516.85,10761,5minute,0.3392963729046831,unknown,unknown,unknown,,,,,,,3.7141795948683467,,,,,,,sideways,
2025-06-23 13:05:00+05:30,516.4,517.0,516.2,516.95,12043,5minute,0.6265803329933585,unknown,unknown,unknown,,,,,,,1.4545190087450326,,,,,,,sideways,
