index_symbol,datetime,tradingsymbol,ltp,end time
nifty50,2025-10-09T09:27:00,NIFTY25O1425100CE,113.7,2025-10-09T09:31:00
nifty50,2025-10-09T09:31:00,NIFTY25O1425100PE,86.3,2025-10-09T09:34:00
nifty50,2025-10-09T09:34:00,NIFTY25O1425100CE,109.8,2025-10-09T09:39:00
nifty50,2025-10-09T09:39:00,NIFTY25O1425100PE,86.35,2025-10-09T09:51:00
nifty50,2025-10-09T09:51:00,NIFTY25O1425050CE,113.95,2025-10-09T09:55:00
nifty50,2025-10-09T09:55:00,NIFTY25O1425050PE,82.65,2025-10-09T09:57:00
nifty50,2025-10-09T09:57:00,NIFTY25O1425050CE,115.7,2025-10-09T10:02:00
nifty50,2025-10-09T10:02:00,NIFTY25O1425050CE,116.2,2025-10-09T10:03:00
nifty50,2025-10-09T10:03:00,NIFTY25O1425050PE,84.55,2025-10-09T10:06:00
nifty50,2025-10-09T10:06:00,NIFTY25O1425050CE,114.25,2025-10-09T10:19:00
nifty50,2025-10-09T10:19:00,NIFTY25O1425050CE,120.35,2025-10-09T10:35:00
nifty50,2025-10-09T10:35:00,NIFTY25O1425100PE,84.6,2025-10-09T10:37:00
nifty50,2025-10-09T10:37:00,NIFTY25O1425100CE,112.05,2025-10-09T10:39:00
nifty50,2025-10-09T10:39:00,NIFTY25O1425100PE,80.05,2025-10-09T10:40:00
nifty50,2025-10-09T10:40:00,NIFTY25O1425100CE,115.75,2025-10-09T10:41:00
nifty50,2025-10-09T10:41:00,NIFTY25O1425100PE,81.3,2025-10-09T10:43:00
nifty50,2025-10-09T10:43:00,NIFTY25O1425100CE,113.15,2025-10-09T10:44:00
nifty50,2025-10-09T10:44:00,NIFTY25O1425100PE,79.75,2025-10-09T10:49:00
nifty50,2025-10-09T10:49:00,NIFTY25O1425100CE,118.25,2025-10-09T10:50:00
nifty50,2025-10-09T10:50:00,NIFTY25O1425100PE,80.65,2025-10-09T10:58:00
nifty50,2025-10-09T10:58:00,NIFTY25O1425100PE,78.1,2025-10-09T11:08:00
nifty50,2025-10-09T11:08:00,NIFTY25O1425150PE,77.3,2025-10-09T11:10:00
nifty50,2025-10-09T11:10:00,NIFTY25O1425150CE,122.25,2025-10-09T11:13:00
nifty50,2025-10-09T11:13:00,NIFTY25O1425150PE,71.9,2025-10-09T11:13:00
nifty50,2025-10-09T11:13:00,NIFTY25O1425150CE,123.5,2025-10-09T11:16:00
nifty50,2025-10-09T11:16:00,NIFTY25O1425150PE,73.6,2025-10-09T11:16:00
nifty50,2025-10-09T11:16:00,NIFTY25O1425150CE,116.45,2025-10-09T11:22:00
nifty50,2025-10-09T11:22:00,NIFTY25O1425150PE,76,2025-10-09T11:29:00
nifty50,2025-10-09T11:29:00,NIFTY25O1425150PE,74.75,2025-10-09T11:31:00
nifty50,2025-10-09T11:31:00,NIFTY25O1425150CE,119.5,2025-10-09T11:34:00
nifty50,2025-10-09T11:34:00,NIFTY25O1425150PE,73.35,2025-10-09T11:34:00
nifty50,2025-10-09T11:34:00,NIFTY25O1425150CE,121,2025-10-09T11:43:00
nifty50,2025-10-09T11:43:00,NIFTY25O1425150CE,123.35,2025-10-09T11:51:00
nifty50,2025-10-09T11:51:00,NIFTY25O1425150CE,116.45,2025-10-09T12:00:00
nifty50,2025-10-09T12:00:00,NIFTY25O1425150CE,120.1,2025-10-09T12:01:00
nifty50,2025-10-09T12:01:00,NIFTY25O1425150PE,72.65,2025-10-09T12:15:00
nifty50,2025-10-09T12:15:00,NIFTY25O1425150PE,70.6,2025-10-09T12:16:00
nifty50,2025-10-09T12:16:00,NIFTY25O1425150CE,121.85,2025-10-09T12:22:00
nifty50,2025-10-09T12:22:00,NIFTY25O1425150CE,121.35,2025-10-09T12:27:00
nifty50,2025-10-09T12:27:00,NIFTY25O1425150CE,116.3,2025-10-09T12:34:00
nifty50,2025-10-09T12:34:00,NIFTY25O1425150CE,113.9,2025-10-09T12:49:50
nifty50,2025-10-09T12:49:50,NIFTY25O1425150CE,115.8,2025-10-09T13:07:05
nifty50,2025-10-09T13:07:05,NIFTY25O1425150CE,109.2,2025-10-09T13:19:45
nifty50,2025-10-09T13:19:45,NIFTY25O1425150CE,109.55,2025-10-09T13:28:54
nifty50,2025-10-09T13:28:54,NIFTY25O1425150CE,116.2,2025-10-09T13:32:06
nifty50,2025-10-09T13:32:06,NIFTY25O1425150PE,66.45,2025-10-09T13:34:07
nifty50,2025-10-09T13:34:07,NIFTY25O1425150CE,117.3,2025-10-09T13:40:59
nifty50,2025-10-09T13:40:59,NIFTY25O1425150CE,115.3,2025-10-09T13:43:47
nifty50,2025-10-09T13:43:47,NIFTY25O1425150PE,71.45,2025-10-09T13:46:07
nifty50,2025-10-09T13:46:07,NIFTY25O1425150CE,113.95,2025-10-09T13:51:12
nifty50,2025-10-09T13:51:12,NIFTY25O1425150CE,118.55,2025-10-09T14:14:11
nifty50,2025-10-09T14:14:11,NIFTY25O1425150CE,109.65,2025-10-09T14:30:46
nifty50,2025-10-09T14:30:46,NIFTY25O1425150CE,96.4,2025-10-09T14:32:32
nifty50,2025-10-09T14:32:32,NIFTY25O1425150PE,74.3,2025-10-09T14:38:10
nifty50,2025-10-09T14:38:10,NIFTY25O1425150CE,96.6,2025-10-09T14:41:00
nifty50,2025-10-09T14:41:00,NIFTY25O1425150PE,75.65,2025-10-09T14:43:29
