start_time,tradingsymbol,entry_ltp,entry_ltp_minus_1,low_time,low_ltp,high_time,high_ltp
10/9/2025 9:27,NIFTY25O1425100CE,113.7,112.7,2025-10-09 09:27:00+05:30,109.6,2025-10-09 09:30:00+05:30,124.15
10/9/2025 9:31,NIFTY25O1425100PE,86.3,85.3,2025-10-09 09:31:00+05:30,80.3,2025-10-09 09:32:00+05:30,91.35
10/9/2025 9:34,NIFTY25O1425100CE,109.8,108.8,2025-10-09 09:36:00+05:30,97,2025-10-09 09:38:00+05:30,112.1
10/9/2025 9:39,NIFTY25O1425100PE,86.35,85.35,2025-10-09 09:39:00+05:30,84.7,2025-10-09 09:43:00+05:30,102.1
10/9/2025 9:51,NIFTY25O1425050CE,113.95,112.95,2025-10-09 09:53:00+05:30,106.85,2025-10-09 09:54:00+05:30,120.6
10/9/2025 9:55,NIFTY25O1425050PE,82.65,81.65,2025-10-09 09:55:00+05:30,79.35,2025-10-09 09:56:00+05:30,86.05
10/9/2025 9:57,NIFTY25O1425050CE,115.7,114.7,2025-10-09 10:00:00+05:30,106.25,2025-10-09 09:57:00+05:30,121.85
10/9/2025 10:02,NIFTY25O1425050CE,116.2,115.2,2025-10-09 10:02:00+05:30,113.6,2025-10-09 10:02:00+05:30,120.45
10/9/2025 10:03,NIFTY25O1425050PE,84.55,83.55,2025-10-09 10:03:00+05:30,77.85,2025-10-09 10:05:00+05:30,86.3
10/9/2025 10:06,NIFTY25O1425050CE,114.25,113.25,2025-10-09 10:10:00+05:30,110.55,2025-10-09 10:08:00+05:30,122.45
10/9/2025 10:19,NIFTY25O1425050CE,120.35,119.35,2025-10-09 10:21:00+05:30,115.2,2025-10-09 10:22:00+05:30,127.5
10/9/2025 10:35,NIFTY25O1425100PE,84.6,83.6,2025-10-09 10:36:00+05:30,80.9,2025-10-09 10:35:00+05:30,87.2
10/9/2025 10:37,NIFTY25O1425100CE,112.05,111.05,2025-10-09 10:37:00+05:30,111.5,2025-10-09 10:38:00+05:30,123
10/9/2025 10:39,NIFTY25O1425100PE,80.05,79.05,2025-10-09 10:39:00+05:30,77.5,2025-10-09 10:39:00+05:30,81.2
10/9/2025 10:40,NIFTY25O1425100CE,115.75,114.75,2025-10-09 10:40:00+05:30,112.45,2025-10-09 10:40:00+05:30,116.45
10/9/2025 10:41,NIFTY25O1425100PE,81.3,80.3,2025-10-09 10:42:00+05:30,80.3,2025-10-09 10:41:00+05:30,83.6
10/9/2025 10:43,NIFTY25O1425100CE,113.15,112.15,2025-10-09 10:43:00+05:30,110.1,2025-10-09 10:43:00+05:30,115.9
